"tstat","ptype","value","n","tau","EY","B","R","H0A","H0Y","seed"
"T21","rho.adj",NA,80,20,0.5,200,NA,FALSE,TRUE,1
"T22","rho.sharp",0.015,80,20,0.5,200,NA,FALSE,TRUE,1
"T22","rho.oracle",0.535,80,20,0.5,200,NA,FALSE,TRUE,1
"T22","rho.plug",0.495,80,20,0.5,200,NA,FALSE,TRUE,1
"T22","rho.adj",NA,80,20,0.5,200,NA,FALSE,TRUE,1
"T23","rho.sharp",0.01,80,20,0.5,200,NA,FALSE,TRUE,1
"T23","rho.oracle",0.48,80,20,0.5,200,NA,FALSE,TRUE,1
"T23","rho.plug",0.445,80,20,0.5,200,NA,FALSE,TRUE,1
"T23","rho.adj",NA,80,20,0.5,200,NA,FALSE,TRUE,1
"T31","rho.sharp",0.005,80,20,0.5,200,NA,FALSE,TRUE,1
"T31","rho.oracle",0.615,80,20,0.5,200,NA,FALSE,TRUE,1
"T31","rho.plug",0.565,80,20,0.5,200,NA,FALSE,TRUE,1
"T31","rho.adj",NA,80,20,0.5,200,NA,FALSE,TRUE,1
"T32","rho.sharp",0.005,80,20,0.5,200,NA,FALSE,TRUE,1
"T32","rho.oracle",0.55,80,20,0.5,200,NA,FALSE,TRUE,1
"T32","rho.plug",0.5,80,20,0.5,200,NA,FALSE,TRUE,1
"T32","rho.adj",NA,80,20,0.5,200,NA,FALSE,TRUE,1
"T33","rho.sharp",0.04,80,20,0.5,200,NA,FALSE,TRUE,1
"T33","rho.oracle",0.475,80,20,0.5,200,NA,FALSE,TRUE,1
"T33","rho.plug",0.445,80,20,0.5,200,NA,FALSE,TRUE,1
"T33","rho.adj",NA,80,20,0.5,200,NA,FALSE,TRUE,1
"T41","rho.sharp",0.005,80,20,0.5,200,NA,FALSE,TRUE,1
"T41","rho.oracle",0.615,80,20,0.5,200,NA,FALSE,TRUE,1
"T41","rho.plug",0.565,80,20,0.5,200,NA,FALSE,TRUE,1
"T41","rho.adj",NA,80,20,0.5,200,NA,FALSE,TRUE,1
"T42","rho.sharp",0.005,80,20,0.5,200,NA,FALSE,TRUE,1
"T42","rho.oracle",0.55,80,20,0.5,200,NA,FALSE,TRUE,1
"T42","rho.plug",0.5,80,20,0.5,200,NA,FALSE,TRUE,1
"T42","rho.adj",NA,80,20,0.5,200,NA,FALSE,TRUE,1
"T43","rho.sharp",0.04,80,20,0.5,200,NA,FALSE,TRUE,1
"T43","rho.oracle",0.475,80,20,0.5,200,NA,FALSE,TRUE,1
"T43","rho.plug",0.445,80,20,0.5,200,NA,FALSE,TRUE,1
"T43","rho.adj",NA,80,20,0.5,200,NA,FALSE,TRUE,1
"T11","rho.sharp",0.025,20,5,0.5,200,100,FALSE,FALSE,1
"T11","rho.oracle",0.685,20,5,0.5,200,100,FALSE,FALSE,1
"T11","rho.plug",0.675,20,5,0.5,200,100,FALSE,FALSE,1
"T11","rho.adj",0.74,20,5,0.5,200,100,FALSE,FALSE,1
"T12","rho.sharp",0.02,20,5,0.5,200,100,FALSE,FALSE,1
"T12","rho.oracle",0.63,20,5,0.5,200,100,FALSE,FALSE,1
"T12","rho.plug",0.62,20,5,0.5,200,100,FALSE,FALSE,1
"T12","rho.adj",0.67,20,5,0.5,200,100,FALSE,FALSE,1
"T13","rho.sharp",0.3,20,5,0.5,200,100,FALSE,FALSE,1
"T13","rho.oracle",0.665,20,5,0.5,200,100,FALSE,FALSE,1
"T13","rho.plug",0.66,20,5,0.5,200,100,FALSE,FALSE,1
"T13","rho.adj",0.74,20,5,0.5,200,100,FALSE,FALSE,1
"T21","rho.sharp",0.51,20,5,0.5,200,100,FALSE,FALSE,1
"T21","rho.oracle",0.705,20,5,0.5,200,100,FALSE,FALSE,1
"T21","rho.plug",0.65,20,5,0.5,200,100,FALSE,FALSE,1
"T21","rho.adj",0.68,20,5,0.5,200,100,FALSE,FALSE,1
